Bezirk,Jahr,Orte,Geburtsort,Latitude1,Longitude1,Medaille,Sportart,Disziplin
OPF,1972.0,München (BRD),Waldmünchen,49378.0,12705.0,Gold,Rudern,4er mit Steuermann
OPF,1976.0,Montreal (CAN),Regensburg,49013.0,12101.0,Bronze,Rudern,
OPF,1984.0,Los Angeles (USA),Neumakrt i. d. Oberpfalz,49280.0,11462.0,Gold,Gewichtheben,Mittelgewicht
OPF,1992,Albertville-Tignes (F),Kulmain,49896.0,11897.0,Gold,Ski Alpin,"Abfahrt, Super-G, Riesenslalom"
OPF,1994,Lillehammer (NOR),Kulmain,49896.0,11897.0,Gold,Ski Alpin,"Abfahrt, Slalom, Super-G, Riesenslalom"
OPF,1996.0,Atlanta (USA),Floß,49726.0,12277.0,Silber,Sportschießen,Luftgewehr
OPF,1998,Nagano (JAP),Kulmain,49896.0,11897.0,Gold,Ski Alpin,"Slalom, Riesenslalom"
OPF,2002,Salt Lake City (USA),Kulmain,49896.0,11897.0,Gold,Ski Alpin,"Abfahrt, Super-G, Riesenslalom, Super-Kombi"
OPF,2006,Turin (IT),Kulmain,49896.0,11897.0,Gold,Ski Alpin,"Abfahrt, Riesenslalom, Super-G, Slalom"
OPF,2010,Vancouver (CAN),Regensburg,49013.0,12101.0,Bronze,Ski Alpin Sitzend,Super-G
OPF,2010,Vancouver (CAN),Kulmain,49896.0,11897.0,Gold,Ski Alpin,"Abfahrt, Super-G, Riesenslalom, Super-Kombi, Slalom"
OPF,2012.0,London (GB),Oberviechtach,49460.0,12421.0,Bronze,Tischtennis,Mannschaft
OPF,2014,Sotschi (RUS),Regensburg,49013.0,12101.0,Gold,Ski Alpin Sitzend,"Abfahrt, Super-G, Riesenslalom, Slalom, Super-Kombination"
OPF,2016.0,Rio de Janeiro (BRA),Oberviechtach,49460.0,12421.0,Bronze,Tischtennis,Mannschaft
OPF,2016.0,Rio de Janeiro (BRA),Amberg,49440.0,11863.0,Gold,Fußball,
OPF,2016.0,Rio de Janeiro (BRA),Regensburg,49013.0,12101.0,Gold,Fußball,
OPF,2018,Pyeongchang (SKO),Regensburg,49013.0,12101.0,Gold,Ski Alpin Sitzend,"Abfahrt, Super-G, Super-Kombination"
SCHW,1928.0,St. Moritz (CH),Füssen,47569.0,10700.0,Bronze,Bob,5er-Bob
SCHW,1932.0,Lake Placid (USA),Füssen,47569.0,10700.0,Bronze,Bob,4er-Bob 
SCHW,1932.0,Lake Placid (USA),Füssen,47569.0,10700.0,Bronze,Eishockey,
SCHW,1936.0,Berlin (D),Weißenhorn,48303.0,10156.0,Bronze,Kanu,"1er Kajak 10000m, Faltboot"
SCHW,1952.0,Oslo (NOR),Gunzesried/Allgäu,47521.0,10219.0,Silber,Ski Alpin,Slalom
SCHW,1960.0,Squaw Valley (USA),Oberstaufen,47557.0,10205.0,Gold,Ski Alpin,Abfahrt
SCHW,1960.0,Squaw Valley (USA),Oberstaufen,47557.0,10205.0,Bronze,Ski Alpin,Slalom
SCHW,1960.0,Squaw Valley (USA),Hindelang,47515.0,10400.0,Silber,Ski Alpin,Abfahrt
SCHW,1968.0,Grenoble (F),Günzburg,48460.0,10279.0,Gold,Eisschnelllauf,500m
SCHW,1968.0,Grenoble (F),Nesselwang,47623.0,10501.0,Gold,Nordische Kombination,Einzel
SCHW,1972.0,Sapporo (JAP),Günzburg,48460.0,10279.0,Gold,Eisschnelllauf,500m
SCHW,1972.0,München (BRD),Kempten,47728.0,10315.0,Bronze,Leichtathletik,4x100m Staffel
SCHW,1972.0,München (BRD),Bellenberg,48250.0,10100.0,Silber,Gewichtheben,Super-Schwergewicht
SCHW,1976.0,Innsbruck (AT),Füssen,47569.0,10700.0,Bronze,Eishockey,
SCHW,1976.0,Innsbruck (AT),Füssen,47569.0,10700.0,Bronze,Eishockey,
SCHW,1976.0,Innsbruck (AT),Kaufbeuren,47883.0,10625.0,Bronze,Eishockey,
SCHW,1976.0,Innsbruck (AT),Füssen,47569.0,10700.0,Bronze,Eishockey,
SCHW,1976.0,Innsbruck (AT),Füssen,47569.0,10700.0,Bronze,Eishockey,
SCHW,1976.0,Innsbruck (AT),Kaufbeuren,47883.0,10625.0,Bronze,Eishockey,
SCHW,1976.0,Innsbruck (AT),Kaufbeuren,47883.0,10625.0,Bronze,Eishockey,
SCHW,1980.0,Lake Placid (USA),Seeg im Allgäu,47654.0,10608.0,Silber,Ski Alpin,Riesenslalom
SCHW,1984.0,Los Angeles (USA),Augsburg,48358.0,10905.0,Silber,Handball,
SCHW,1988.0,Seoul (Südkorea),Augsburg,48358.0,10905.0,Bronze,Fußball,
SCHW,1988.0,Seoul (Südkorea),Weiler im Allgäu,47582.0,9913.0,Bronze,Fußball,
SCHW,1988.0,Calgary (CAN),Sonthofen,47516.0,10280.0,Silber,Ski Alpin,Slalom
SCHW,1992.0,Barcelona ( E),Augsburg,48358.0,10905.0,Gold,Kanu,1er-Kajak
SCHW,1994,Lillehammer (NOR),Buchloe,48036.0,10721.0,Silber,Biathlon,"7,5km B1"
SCHW,1996.0,Atlanta (USA),Augsburg,48358.0,10905.0,Gold,Kanu,Kajak-Einer Slalom
SCHW,1998,Nagano (JAP),Buchloe,48036.0,10721.0,Silber,Skilanglauf,"Langlauf 15km, Langlauf Staffel"
SCHW,1998,Nagano (JAP),Lindau,47579.0,9678.0,Gold,Biathlon,Biathlon
SCHW,2000,Sydney (AUS),Wiggensbach,47745.0,10231.0,Bronze,Leichtathletik,Staffel 4x100m
SCHW,2000,Sydney (AUS),Augsburg,48358.0,10905.0,Gold,Tischtennis,"Team, Einzel"
SCHW,2000.0,Sydney (AUS),Kaufbeuren,47883.0,10625.0,Bronze,Fußball,
SCHW,2002,Salt Lake City (USA),Lindau,47579.0,9678.0,Gold,Biathlon,"7,5km Blind, Skilanglauf 10km"
SCHW,2002,Salt Lake City (USA),Buchloe,48036.0,10721.0,Bronze,Skilanglauf,10km
SCHW,2004,Athen (GR),Augsburg,48358.0,10905.0,Gold,Tischtennis,"Team, Einzel"
SCHW,2006.0,Turin (IT),Füssen,47569.0,10700.0,Gold,Biathlon,"Einzel, Massenstart, Staffel"
SCHW,2006,Turin (IT),Lindau,47579.0,9678.0,Gold,Langlauf,5km 
SCHW,2006,Turin (IT),Buchloe,48036.0,10721.0,Bronze,Biathlon,"Biathlon 12,5 km Blind"
SCHW,2006,Turin (IT),Kempten,47728.0,10315.0,Gold,Ski Alpin,"Abfahrt, Slalom"
SCHW,2008.0,Peking (CHN),Augsburg,48358.0,10905.0,Gold,Kanu,K1
SCHW,2008,Peking (CHN),Augsburg,48358.0,10905.0,Silber,Tischtennis,Einzel
SCHW,2008,Peking (CHN),Dillingen,48579.0,10494.0,Silber,Basketball,
SCHW,2010,Vancouver (CAN),Buchloe,48036.0,10721.0,Gold,Biathlon,"Biathlon 12,5 km"
SCHW,2010,Vancouver (CAN),Kempten,47728.0,10315.0,Bronze,Ski Alpin,Abfahrt
SCHW,2010.0,Vancouver (CAN),Oberstdorf,47409.0,10279.0,Bronze,Nordische Kombination,Team
SCHW,2010,Vancouver (CAN),Lindau,47579.0,9678.0,Gold,Biathlon,"3km Pursuit, 12,5 km"
SCHW,2012.0,London (GB),Augsburg,48358.0,10905.0,Silber,Kanu,C1
SCHW,2012.0,London (GB),Augsburg,48358.0,10905.0,Bronze,Kanu,K1
SCHW,2012,London (GB),Kaufbeuren,47883.0,10625.0,Silber,Paracycling,Zeitfahren Mixed
SCHW,2014.0,Sotschi (RUS),Oberstdorf,47409.0,10279.0,Silber,Nordische Kombination,Team
SCHW,2016,Rio de Janeiro (BRA),Kaufbeuren,47883.0,10625.0,Gold,Paracycling,"Zeitfahren, Straßenrennen"
SCHW,2016,Rio de Janeiro (BRA),Obergünzburg,47846.0,10420.0,Silber,Paracycling,Straßenrennen
SCHW,2016,Rio de Janeiro (BRA),Lindau,47579.0,9678.0,Silber,Tischtennis,Team
SCHW,2016,Rio de Janeiro (BRA),Augsburg,48358.0,10905.0,Bronze,Judo,Bis 73kg
SCHW,2018.0,Pyeongchang (Südkorea),Oberstdorf,47409.0,10279.0,Silber,Skispringen,Team
SCHW,2018.0,Pyeongchang (Südkorea),Immenstadt im Allgäu,47559.0,10220.0,Silber,Eishockey,
SCHW,2018.0,Pyeongchang (Südkorea),Mindelheim,48046.0,10494.0,Silber,Eishockey,
SCHW,2018.0,Pyeongchang (Südkorea),Sonthofen,47516.0,10280.0,Silber,Snowboard,Parallel-Riesenslalom
SCHW,2018.0,Pyeongchang (Südkorea),Oberstdorf,47409.0,10279.0,Gold,Nordische Kombination,"Einzel, Team"
SCHW,2018.0,Pyeongchang (Südkorea),Oberstdorf,47409.0,10279.0,Silber,Skispringen,Einzel
SCHW,2018.0,Pyeongchang (Südkorea),Oberstdorf,47409.0,10279.0,Gold,Nordische Kombination,Team
SCHW,2021,Tokio (JAP),Lindau,47579.0,9678.0,Silber,Tischtennis,Team
SCHW,2021.0,Tokio (JP),Augsburg,48358.0,10905.0,Bronze,Kanu,C1
SCHW,2021.0,Tokio (JP),Augsburg,48358.0,10905.0,Bronze,Kanu,K1
SCHW,2021.0,Tokio (JP),Kempten,47728.0,10315.0,Gold,Rennrad,Mannschaftsverfolgung Bahn
SCHW,2022.0,Peking (CHN),Mindelheim,48046.0,10494.0,Silber,Ski Alpin,Team
SCHW,2022.0,Peking (CHN),Oberstdorf,47409.0,10279.0,Silber,Skispringen,Einzel
SCHW,2022.0,Peking (CHN),Oberstdorf,47409.0,10279.0,Gold,Nordische Kombination,"Einzel (NS), Team"
SCHW,2022.0,Peking (CHN),Oberstdorf,47409.0,10279.0,Bronze,Skispringen,"Einzel, Team"
SCHW,2022.0,Peking (CHN),Kempten,47728.0,10315.0,Silber,Langlauf,Staffel
SCHW,2022.0,Peking (CHN),Oberstdorf,47409.0,10279.0,Silber,Nordische Kombination,Team
SCHW,2022.0,Peking (CHN),Oberstdorf,47409.0,10279.0,Silber,Ski Alpin,Team
SCHW,2022,Peking (CHN),Oberstdorf,47409.0,10279.0,Silber,Biathlon,6 km
UFR,1936.0,Berlin (D),Schweinfurt,50049.0,10231.0,Silber,Rudern,Doppel2er
UFR,1936.0,Berlin (D),Würzburg,49783.0,9933.0,Gold,Rudern,4er ohne Steuermann
UFR,1936.0,Berlin (D),Würzburg,49783.0,9933.0,Gold,Rudern,4er ohne Steuermann
UFR,1936.0,Berlin (D),Würzburg,49783.0,9933.0,Gold,Rudern,4er ohne Steuermann
UFR,1952.0,Helsinki (FIN),Schweinfurt,50049.0,10231.0,Bronze,Rad,Straße
UFR,1960.0,Rom (IT),Würzburg,49783.0,9933.0,Bronze,Reiten,Dressur Einzel Mixed
UFR,1964.0,Tokio (JP),Würzburg,49783.0,9933.0,Gold,Reiten,Dressur Mannschaft Mixed
UFR,1968.0,Mexiko City (MEX),Würzburg,49783.0,9933.0,Gold,Reiten,"Dressur Mannschaft Mixed, Dressur Einzel Mixed"
UFR,1972.0,München (BRD),Würzburg,49783.0,9933.0,Silber,Reiten,"Dressur Mannschaft Mixed, Dressur Einzel Mixed"
UFR,1976.0,Montreal (CAN),Würzburg,49783.0,9933.0,Gold,Fechten,Florett Mannschaft
UFR,1976.0,Montreal (CAN),Großheubach,49727.0,9221.0,Silber,Leichtathletik,Zehnkampf
UFR,1976.0,Montreal (CAN),Kitzingen,49734.0,10147.0,Gold,Sportschießen,KK-Gewehr 50m liegend
UFR,1988.0,Seoul (Südkorea),Aschaffenburg,49977.0,9152.0,Bronze,Fußball,
UFR,1988.0,Calgary (CAN),Aschaffenburg,49977.0,9152.0,Gold,Nordische Kombination,Team
UFR,1988.0,Seoul (Südkorea),Würzburg,49783.0,9933.0,Gold,Fechten,"Florett Mannschaft, Florett Einzel"
UFR,1988.0,Seoul (Südkorea),Würzburg,49783.0,9933.0,Silber,Fechten,"Florett Mannschaft, Florett Einzel"
UFR,1992.0,Barcelona ( E),Würzburg,49783.0,9933.0,Silber,Fechten,Florett Mannschaft
UFR,1996.0,Atlanta (USA),Würzburg,49783.0,9933.0,Bronze,Fechten,Florett Mannschaft
UFR,1996.0,Atlanta (USA),Würzburg,49783.0,9933.0,Silber,Rudern,Deutschland 8er
UFR,2000.0,Sydney (AUS),Lohr a. M.,49989.0,9572.0,Bronze,Fußball,
UFR,2000.0,Sydney (AUS),Großostheim,49922.0,9753.0,Gold,Reiten,Mannschaft
UFR,2000.0,Sydney (AUS),Würzburg,49783.0,9933.0,Bronze,Fechten,Florett Mannschaft
UFR,2004.0,Athen (GR),Würzburg,49783.0,9933.0,Bronze,Hockey,
UFR,2004.0,Athen (GR),Großostheim,49922.0,9753.0,Bronze,Reiten,Mannschaft
UFR,2008.0,Peking (CHN),Lohr a. M.,49989.0,9572.0,Bronze,Fußball,"(zuvor bereits 2xBronze, ohne gespielt zu haben)"
UFR,2008.0,Peking (CHN),Würzburg,49783.0,9933.0,Bronze,Fußball,(Ersatztorhüterin)
UFR,2008.0,Peking (CHN),Würzburg,49783.0,9933.0,Bronze,Schwimmen,10km Freiwasser
UFR,2012.0,London (GB),Würzburg,49783.0,9933.0,Silber,Schwimmen,Freiwasser
UFR,2016.0,Rio de Janeiro (BRA),Alzenau,50089.0,9587.0,Gold,Fußball,
UFR,2022.0,Peking (CHN),Ochsenfurt,49664.0,10079.0,Silber,Bob,Viererbob
