Bezirk,Jahr,Orte,Geburtsort,Latitude1,Longitude1,Medaille,Sportart,Disziplin
OBB,1932.0,Lake Placid (USA),München,48135.0,11581.0,Bronze,Eishockey,
OBB,1932.0,Lake Placid (USA),Garmisch,47491.0,11095.0,Bronze,Bob,4er-Bob (Steuermann)
OBB,1932.0,Lake Placid (USA),München,48135.0,11581.0,Bronze,Eishockey,
OBB,1936.0,Berlin (D),München,48135.0,11581.0,Gold,Kanu,1er Kajak 10000m
OBB,1936.0,Berlin (D),München,48135.0,11581.0,Gold,Leichtathletik,Diskus
OBB,1936.0,Berlin (D),München,48135.0,11581.0,Silber,Ringen,Leichtgewicht/Freistil
OBB,1936.0,Berlin (D),Jesenwang,48166.0,11131.0,Gold,Turnen,Mannschaft
OBB,1936.0,Garmisch-Patenkirchen (D),München,48135.0,11581.0,Gold,Eiskunstlauf,Paarlauf
OBB,1936.0,Garmisch-Patenkirchen (D),Partenkirchen,47491.0,11095.0,Silber,Ski Alpin,Alpine Kombination
OBB,1936.0,Garmisch-Patenkirchen (D),Au/Berchtesgarden,47630.0,13000.0,Gold,Ski Alpin,Alpine Kombination
OBB,1952.0,Oslo (NOR),Ettal,47569.0,11093.0,Silber,Ski Alpin,"Abfahrt, Riesenslalom, Slalom"
OBB,1952.0,Oslo (NOR),Grainau,47476.0,11024.0,Gold,Bob,"2er, 4er"
OBB,1952.0,Oslo (NOR),Partenkirchen,47491.0,11095.0,Gold,Bob,4er
OBB,1952.0,Oslo (NOR),München,48135.0,11581.0,Gold,Bob,"2er, 4er"
OBB,1956.0,Melbourne (AUS),München,48135.0,11581.0,Bronze,Hockey,
OBB,1960.0,Rom (IT),Großinzemoos,48337.0,11427.0,Silber,Leichtathletik,4x100m Staffel
OBB,1964.0,Innsbruck (AT),Berchtesgarden,47630.0,13000.0,Bronze,Rodel,Einzel
OBB,1964.0,Tokio (JP),Rosenheim,47857.0,12118.0,Bronze,Turnen,Mannschaftsmehrkampf
OBB,1964.0,Innsbruck (AT),München,48135.0,11581.0,Gold,Eiskunstlauf,
OBB,1964.0,Innsbruck (AT),Dachau,48262.0,11433.0,Silber,Eiskunstlauf,Paarlauf
OBB,1964.0,Innsbruck (AT),Bischofswiesen,47650.0,12964.0,Bronze,Ski Alpin,Abfahrt
OBB,1968.0,Grenoble (F),Kreuth,47644.0,11743.0,Bronze,Rodel,Doppelsitzer
OBB,1968.0,Grenoble (F),Tegernsee,47713.0,11758.0,Bronze,Rodel,Doppelsitzer
OBB,1968.0,Grenoble (F),Grainau,47476.0,11024.0,Silber,Bob,2er-Bob
OBB,1972.0,Sapporo (JAP),München,48135.0,11581.0,Gold,Eisschnelllauf,1000m
OBB,1972.0,Sapporo (JAP),Murnau am Staffelsee,47677.0,11204.0,Bronze,Bob,4er-Bob
OBB,1972.0,Sapporo (JAP),Ohlstadt,47634.0,11233.0,Gold,Bob,"2er-Bob, 4er-Bob"
OBB,1972.0,Sapporo (JAP),Dießen am Ammersee,47947.0,11103.0,Bronze,Bob,4er-Bob
OBB,1972.0,Sapporo (JAP),Murnau am Staffelsee,47677.0,11204.0,Gold,Bob,"2er-Bob, 4er-Bob"
OBB,1972.0,München (BRD),Großhesselohe,48056.0,11523.0,Bronze,Kanu,1er-Kajak Slalom
OBB,1972.0,Sapporo (JAP),Grainau,47476.0,11024.0,Silber,Bob,2er-Bob
OBB,1972.0,München (BRD),München,48135.0,11581.0,Bronze,Schwimmen,4x100m Lagen
OBB,1972.0,München (BRD),München,48135.0,11581.0,Bronze,Judo,Halb-Schwergewicht
OBB,1976.0,Innsbruck (AT),Berchtesgarden,47630.0,13000.0,Silber,Rodeln,Doppelsitzer
OBB,1976.0,Innsbruck (AT),Garmisch-Partenkirchen,47491.0,11095.0,Bronze,Eishockey,
OBB,1976.0,Innsbruck (AT),Berchtesgarden,47630.0,13000.0,Silber,Rodeln,
OBB,1976.0,Innsbruck (AT),Bruckmühl,47876.0,11909.0,Bronze,Rodeln,Doppelsitzer
OBB,1976.0,Innsbruck (AT),Reit im Winkl,47676.0,12469.0,Gold,Ski Alpin,"Abfahrt, Slalom, Riesenslalom "
OBB,1976.0,Innsbruck (AT),Kochel am See,47659.0,11368.0,Bronze,Rodeln,
OBB,1976.0,Innsbruck (AT),Holzkirchen,47881.0,11699.0,Bronze,Eishockey,
OBB,1976.0,Innsbruck (AT),Bad Tölz,47761.0,11565.0,Bronze,Eishockey,
OBB,1976.0,Innsbruck (AT),Garmisch-Partenkirchen,47491.0,11095.0,Bronze,Eishockey,
OBB,1976.0,Innsbruck (AT),Ohlstadt,47634.0,11233.0,Silber,Bob,"2er-Bob, 4er-Bob"
OBB,1976.0,Innsbruck (AT),Murnau am Staffelsee,47677.0,11204.0,Bronze,Bob,4er-Bob
OBB,1976.0,Montreal (CAN),Tegernsee,47713.0,11758.0,Bronze,Sportschießen,KK-Gewehr Dreistellungskampf
OBB,1976.0,Montreal (CAN),München,48135.0,11581.0,Bronze,Rudern,
OBB,1976.0,Montreal (CAN),Steingaden,47702.0,10861.0,Silber,Judo,
OBB,1980.0,Lake Placid (USA),Siegsdorf,47823.0,12640.0,Bronze,Biathlon,Staffel
OBB,1980.0,Lake Placid (USA),Tegernsee,47713.0,11758.0,Bronze,Biathlon,Staffel
OBB,1980.0,Lake Placid (USA),Bischofswiesen,47650.0,12964.0,Bronze,Rodel,Einsitzer
